Date,Item,Quantity,Amount,Status
2026-05-20 13:37:31.089333,SOLAR BOX AQK3048,1.0,Rs 400.00,#16651
2026-05-20 13:35:38.971637,OTO DC PAR 3 WALA,1.0,Rs 200.00,#16650
2026-05-20 13:32:50.364326,BALINO MOTOR shibo,1.0,Rs 1100.00,#16649
2026-05-20 13:27:41.581244,H POWER 6G SUPPLY,1.0,Rs 1150.00,#16648
2026-05-20 13:27:24.589259,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16647
2026-05-20 13:25:37.391479,CHULA,1.0,Rs 4000.00,#16646
2026-05-20 13:25:35.981699,BALINO MOTOR shibo,1.0,Rs 1100.00,#16645
2026-05-20 13:23:12.285820,COOLER SUPPLY L,1.0,Rs 1400.00,#16644
2026-05-20 13:22:31.022618,T SET COOLER,12.0,Rs 576.00,#16643
2026-05-20 13:18:43.150770,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16642
2026-05-20 13:17:39.473094,DC MOVING MOTOR,1.0,Rs 200.00,#16641
2026-05-20 13:17:39.473094,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16641
2026-05-20 13:16:29.967072,GT CHECK METER,1.0,Rs 1700.00,#16640
2026-05-20 13:15:35.561676,BALINO MOTOR shibo,1.0,Rs 1100.00,#16639
2026-05-20 13:15:35.561676,OTO PAR  5 WALA,1.0,Rs 200.00,#16639
2026-05-20 13:15:35.561676,BALINO RING,1.0,Rs 50.00,#16639
2026-05-20 13:15:35.561676,SUPPLY PIPE,1.0,Rs 50.00,#16639
2026-05-20 13:15:35.561676,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16639
2026-05-20 13:15:35.561676,WORLD WIDE WIRE 4MM,3.0,Rs 450.00,#16639
2026-05-20 13:06:27.726419,COMPUTER SUPPLY,1.0,Rs 2100.00,#16638
2026-05-20 13:06:27.726419,BALINO MOTOR shibo,1.0,Rs 1100.00,#16638
2026-05-20 13:06:27.726419,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16638
2026-05-20 12:57:11.522762,AC DC CIRCUT hp,1.0,Rs 1200.00,#16636
2026-05-20 12:56:45.507329,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16635
2026-05-20 12:56:10.055444,AKKO INSECT KILLER 10W,1.0,Rs 2750.00,#16634
2026-05-20 12:56:10.055444,AKKO INSECT KILLER HK 08,1.0,Rs 2400.00,#16634
2026-05-20 12:56:10.055444,KRI KRI 30W,1.0,Rs 3500.00,#16634
2026-05-20 12:54:26.708661,COOLER SUPPLY L,1.0,Rs 1400.00,#16633
2026-05-20 12:52:10.742595,DELUXE SOLDING IRON 40W,1.0,Rs 340.00,#16632
2026-05-20 12:51:58.195842,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16631
2026-05-20 12:49:02.145969,balino japani motor,1.0,Rs 2000.00,#16630
2026-05-20 12:49:02.145969,arman cooler supply,1.0,Rs 1900.00,#16630
2026-05-20 12:49:02.145969,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16630
2026-05-20 12:49:02.145969,BALINO RING,1.0,Rs 50.00,#16630
2026-05-20 12:49:02.145969,OTO DC PAR 3 WALA,1.0,Rs 200.00,#16630
2026-05-20 12:49:02.145969,dc cooler divert button,1.0,Rs 140.00,#16630
2026-05-20 12:49:02.145969,dc cooler button,2.0,Rs 140.00,#16630
2026-05-20 12:49:02.145969,dc wire,5.0,Rs 200.00,#16630
2026-05-20 12:44:10.757271,INDUCTION STAND,1.0,Rs 900.00,#16629
2026-05-20 12:42:52.837613,PHILPHS CHARGING FAN,1.0,Rs 10000.00,#16628
2026-05-20 12:40:29.814057,SUFI SUPPLY 5935,1.0,Rs 1100.00,#16627
2026-05-20 12:32:29.918419,BALINO MOTOR shibo,1.0,Rs 1100.00,#16626
2026-05-20 12:32:29.918419,OTO PAR  5 WALA,1.0,Rs 200.00,#16626
2026-05-20 12:25:17.007961,SHAVING GEL SMALL,2.0,Rs 260.00,#16625
2026-05-20 12:25:17.007961,ELETIK HAIR COLOR 45&43,2.0,Rs 460.00,#16625
2026-05-20 12:25:17.007961,WATER SILK TISSUE,1.0,Rs 550.00,#16625
2026-05-20 12:17:21.500617,COMPUTER SUPPLY,1.0,Rs 2000.00,#16624
2026-05-20 12:17:21.500617,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16624
2026-05-20 12:16:44.011770,PHILPHS CHARGING FAN,1.0,Rs 9500.00,#16623
2026-05-20 12:14:25.403157,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16622
2026-05-20 11:54:08.395808,BALINO MOTOR shibo,1.0,Rs 1100.00,#16621
2026-05-20 11:51:54.889811,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16620
2026-05-20 11:51:54.889811,MOVING MOTOR DC,1.0,Rs 200.00,#16620
2026-05-20 11:48:11.978468,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16619
2026-05-20 11:45:01.248941,AKKO INSECT KILLER HK06 6W,1.0,Rs 2300.00,#16618
2026-05-20 11:41:19.169386,H POWER SHAFI PLUS 15W,2.0,Rs 800.00,#16617
2026-05-20 11:41:11.818199,H POWER SUPPLY IP43 400W,1.0,Rs 2200.00,#16616
2026-05-20 11:38:24.378418,COMPUTER SUPPLY,1.0,Rs 2000.00,#16615
2026-05-20 11:37:14.490136,OPK EXTENSION LED OP038,1.0,Rs 1100.00,#16614
2026-05-20 11:36:41.059009,PWM BATTERY CONTROLLER 30A,1.0,Rs 1600.00,#16613
2026-05-20 11:36:22.688317,LNIO EXTENSION LEED A705,1.0,Rs 500.00,#16612
2026-05-20 11:36:22.688317,SUPPLY PIPE,1.0,Rs 50.00,#16612
2026-05-20 11:34:07.881782,CB XL JUMBO 72,2.0,Rs 5100.00,#16611
2026-05-20 11:33:52.601908,GOOD BABY XL,1.0,Rs 1650.00,#16610
2026-05-20 11:17:24.349632,GOOD BABY XL,1.0,Rs 1650.00,#16609
2026-05-20 11:17:24.349632,GOOD BABY L,1.0,Rs 1650.00,#16609
2026-05-20 11:17:24.349632,SAFIT RAZOR,1.0,Rs 130.00,#16609
2026-05-20 11:03:39.242641,ANCE CLEAR FACE WASH 85G,1.0,Rs 420.00,#16608
2026-05-20 11:03:39.242641,DOVE INTENSE REPAIR SHAMPOO 650ML,1.0,Rs 1400.00,#16608
2026-05-20 10:55:49.769572,RAF INDUCTUION R110,1.0,Rs 6000.00,#16607
2026-05-20 10:55:49.769572,TRAY,2.0,Rs 3700.00,#16607
2026-05-20 10:55:49.769572,STEEL FAN 7757,1.0,Rs 1750.00,#16607
2026-05-20 10:55:49.769572,PAARIS PERFUME TISSUE BLUE,5.0,Rs 1250.00,#16607
2026-05-20 10:55:49.769572,MEAT MACHINE MANUAL 18,1.0,Rs 4000.00,#16607
2026-05-20 10:55:49.769572,RIPPING ROLL,1.0,Rs 500.00,#16607
2026-05-20 10:55:49.769572,4.5 V CHARGER,1.0,Rs 530.00,#16607
2026-05-20 10:55:49.769572,WIRE 110/76,5.0,Rs 200.00,#16607
2026-05-20 10:55:45.802137,CB L ECONOMY 40,1.0,Rs 1350.00,#16606
2026-05-20 10:55:45.802137,CB S ECONOMY 48,1.0,Rs 1350.00,#16606
2026-05-20 10:53:15.032295,SKB DC CHARGER S01 RED,1.0,Rs 350.00,#16605
2026-05-20 10:52:51.163429,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16604
2026-05-20 10:52:03.448238,MILLAT CURRENCY TESTER TE5000,1.0,Rs 900.00,#16603
2026-05-20 10:45:43.005860,DP LIGHT DP720,1.0,Rs 2300.00,#16602
2026-05-20 10:45:43.005860,DC MOVING MOTOR,1.0,Rs 200.00,#16602
2026-05-20 10:39:37.689971,BEN10 TISSUE,1.0,Rs 150.00,#16601
2026-05-20 10:39:37.689971,KLIENEX JUMBO ROLL,1.0,Rs 330.00,#16601
2026-05-20 10:35:16.750041,BALINO MOTOR FAN,1.0,Rs 2300.00,#16600
2026-05-20 10:30:33.879432,DC MOVING MOTOR,1.0,Rs 200.00,#16599
2026-05-20 10:29:39.637473,BALINO MOTOR shibo,1.0,Rs 1100.00,#16598
2026-05-20 10:25:56.871511,FOAM HANDLE FOLDING UMBRELLA,1.0,Rs 1200.00,#16597
2026-05-20 10:23:52.775363,BARBAR COMB,5.0,Rs 350.00,#16596
2026-05-20 10:20:33.543058,MINI FAN 6834,1.0,Rs 500.00,#16595
2026-05-20 10:18:01.862317,BALINO MOTOR shibo,1.0,Rs 1100.00,#16594
2026-05-20 10:17:48.742885,FINE SHINE SHAMPOO 200ML3,1.0,Rs 340.00,#16593
2026-05-20 10:16:25.208817,H POWER SHAFI PLUS 15W,4.0,Rs 1360.00,#16592
2026-05-20 10:16:25.208817,DC MOVING MOTOR,8.0,Rs 1320.00,#16592
2026-05-20 10:12:22.342854,CB NB ECONOMY 52,1.0,Rs 1350.00,#16591
2026-05-20 10:12:16.514585,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16590
2026-05-20 10:10:19.958580,COOL&SOFT XXL,1.0,Rs 1850.00,#16589
2026-05-20 10:08:40.022631,APPLE COLOR D.B BLACK 500ML,1.0,Rs 2250.00,#16588
2026-05-20 10:07:47.320754,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16587
2026-05-20 10:07:04.215626,SA FAN AC DC,1.0,Rs 8000.00,#16586
2026-05-20 10:07:04.215626,MC4 CONNECTOR,1.0,Rs 150.00,#16586
2026-05-20 10:00:55.452005,SHAVING GEL LARGE,2.0,Rs 360.00,#16585
2026-05-20 10:00:55.452005,AFTER SHAVE BARRI,1.0,Rs 300.00,#16585
2026-05-20 10:00:55.452005,BEN10 TISSUE,2.0,Rs 300.00,#16585
2026-05-20 10:00:55.452005,V12 BLADES,4.0,Rs 1120.00,#16585
2026-05-20 09:59:24.920643,H POWER 6G SUPPLY,1.0,Rs 1150.00,#16584
2026-05-20 09:58:29.233599,SMART BATTERY CHARGER 50A 032,1.0,Rs 2900.00,#16583
2026-05-20 09:58:29.233599,H POWER SHAFI PLUS 15W,2.0,Rs 800.00,#16583
2026-05-20 09:58:29.233599,DC MOVING MOTOR,2.0,Rs 400.00,#16583
2026-05-20 09:58:29.233599,dc cooler divert button,1.0,Rs 140.00,#16583
2026-05-20 09:58:29.233599,T SET COOLER,1.0,Rs 80.00,#16583
2026-05-20 09:58:29.233599,SUPPLY PIPE,1.0,Rs 50.00,#16583
2026-05-20 09:58:29.233599,dc cooler button,2.0,Rs 140.00,#16583
2026-05-20 09:56:09.845438,COMPUTER SUPPLY,1.0,Rs 2000.00,#16582
2026-05-20 09:50:35.189543,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16581
2026-05-20 09:48:52.154446,BALINO MOTOR shibo,1.0,Rs 1100.00,#16580
2026-05-20 09:48:52.154446,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16580
2026-05-20 09:48:52.154446,OTO PAR  5 WALA,2.0,Rs 400.00,#16580
2026-05-20 09:48:52.154446,HMA MALE FEMALE 20A,1.0,Rs 250.00,#16580
2026-05-20 09:48:52.154446,SUPPLY PIPE,1.0,Rs 50.00,#16580
2026-05-20 09:48:52.154446,T SET COOLER,1.0,Rs 80.00,#16580
2026-05-20 09:48:52.154446,WIRE 110/76,5.0,Rs 200.00,#16580
2026-05-20 09:48:52.154446,dc cooler divert button,2.0,Rs 280.00,#16580
2026-05-20 09:48:52.154446,dc cooler button,2.0,Rs 140.00,#16580
2026-05-20 09:48:52.154446,SJ MALE FEMALE,1.0,Rs 120.00,#16580
2026-05-20 09:48:52.154446,BALINO RING,1.0,Rs 50.00,#16580
2026-05-20 09:45:16.365260,BEN10 TISSUE,3.0,Rs 450.00,#16579
2026-05-20 09:45:16.365260,SHAVING GEL SMALL,2.0,Rs 260.00,#16579
2026-05-20 09:45:16.365260,AFTER SHAVE S,1.0,Rs 180.00,#16579
2026-05-20 09:45:16.365260,HAIR BAND BLACK,1.0,Rs 50.00,#16579
2026-05-20 09:44:27.461171,Olivia Hair Colour 09,1.0,Rs 250.00,#16578
2026-05-20 09:41:52.848595,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16577
2026-05-20 09:41:52.848595,TAPE,1.0,Rs 50.00,#16577
2026-05-20 09:41:16.116870,AC SILICON PAR,1.0,Rs 500.00,#16576
2026-05-20 09:40:37.353998,CA 25W PUMP,5.0,Rs 2300.00,#16575
2026-05-20 09:40:37.353998,H POWER SHAFI PLUS 15W,10.0,Rs 3400.00,#16575
2026-05-20 09:40:37.353998,TAPE,30.0,Rs 1260.00,#16575
2026-05-20 09:40:37.353998,COMPUTER CABLE,5.0,Rs 475.00,#16575
2026-05-20 09:40:37.353998,BALINO MOTOR shibo,1.0,Rs 1040.00,#16575
2026-05-20 09:40:37.353998,DC SILICON PAR,4.0,Rs 640.00,#16575
2026-05-20 09:40:37.353998,AC SILICON PAR,1.0,Rs 400.00,#16575
2026-05-20 09:40:37.353998,ac cooler par,1.0,Rs 300.00,#16575
2026-05-20 09:40:37.353998,OTO PAR  5 WALA,1.0,Rs 165.00,#16575
2026-05-20 09:38:39.366922,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16574
2026-05-20 09:38:39.366922,DC MOVING MOTOR,1.0,Rs 200.00,#16574
2026-05-20 09:37:44.756913,KEMEI 3IN1 6330,1.0,Rs 1600.00,#16573
2026-05-20 09:34:12.021195,arman cooler supply,1.0,Rs 1800.00,#16572
2026-05-20 09:28:31.390593,BALINO MOTOR shibo,1.0,Rs 1100.00,#16571
2026-05-20 09:28:31.390593,H POWER 6G SUPPLY,1.0,Rs 1200.00,#16571
2026-05-20 09:28:31.390593,DC MOVING MOTOR,1.0,Rs 200.00,#16571
2026-05-20 09:28:31.390593,SJ MALE FEMALE,1.0,Rs 120.00,#16571
2026-05-20 09:28:31.390593,HMA SHOE PROCLEAN,1.0,Rs 50.00,#16571
2026-05-20 09:26:52.444602,BALINO MOTOR shibo,1.0,Rs 1100.00,#16570
2026-05-20 09:26:52.444602,OTO DC PAR 3 WALA,1.0,Rs 200.00,#16570
2026-05-20 09:17:11.333697,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16569
2026-05-20 09:00:30.387861,H POWER 6G SUPPLY,1.0,Rs 1200.00,#16568
2026-05-20 08:58:25.215757,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16567
2026-05-20 08:50:11.363500,GALIP HAIR GEL NORMAL HOLD,1.0,Rs 270.00,#16566
2026-05-20 08:50:11.363500,T10 BLADE,1.0,Rs 280.00,#16566
2026-05-20 08:50:11.363500,ELETIK HAIR COLOR 45&43,1.0,Rs 230.00,#16566
2026-05-20 08:50:11.363500,OXFORD LATHER SHAVING CREAM,1.0,Rs 170.00,#16566
2026-05-19 21:52:59.180766,CB L ECONOMY 40,1.0,Rs 1350.00,#16565
2026-05-19 21:52:59.180766,CARE BABY WIPES,1.0,Rs 170.00,#16565
2026-05-19 21:44:41.949300,CB XL JUMBO 72,1.0,Rs 2550.00,#16564
2026-05-19 21:44:41.949300,RAPPING SHEET S,1.0,Rs 750.00,#16564
2026-05-19 21:32:14.206797,care baby wipes,1.0,Rs 170.00,#16563
2026-05-19 21:32:14.206797,CB NB ECONOMY 52,1.0,Rs 1350.00,#16563
2026-05-19 21:29:34.548107,MILAT INSECT KILLER 813 BULB,1.0,Rs 380.00,#16562
2026-05-19 21:28:29.366405,KENWOOD 3IN1 KN170,1.0,Rs 7000.00,#16561
2026-05-19 21:28:29.366405,DAWLANCE DRY IRON 2\W,1.0,Rs 3000.00,#16561
2026-05-19 21:27:04.694939,balino japani motor,1.0,Rs 2000.00,#16560
2026-05-19 21:27:04.694939,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16560
2026-05-19 21:22:46.445409,RAHAT PAMPER XL 10,1.0,Rs 900.00,#16559
2026-05-19 21:18:26.618896,DC MOVING MOTOR,2.0,Rs 400.00,#16558
2026-05-19 21:18:26.618896,T RELAY,1.0,Rs 250.00,#16558
2026-05-19 21:15:08.783101,RAHAT PAMPER XL 10,1.0,Rs 900.00,#16557
2026-05-19 21:13:26.905584,AL SHEIKH FAN AC DC,1.0,Rs 9200.00,#16556
2026-05-19 21:12:56.531614,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16555
2026-05-19 21:03:47.224784,AZAD GOLD CHARGER 30AMP,1.0,Rs 3300.00,#16554
2026-05-19 21:01:33.265831,DC MOVING MOTOR,1.0,Rs 200.00,#16553
2026-05-19 21:00:44.925567,DEURON 4 IN 1 JUICER GL404,1.0,Rs 13500.00,#16552
2026-05-19 20:58:09.265078,MEDIASTAR X80V ANDRIOD BOX,1.0,Rs 5500.00,#16551
2026-05-19 20:56:14.543522,GEMEY MACHINE,1.0,Rs 2100.00,#16550
2026-05-19 20:56:14.543522,DINLING SHAVING MACHINE RF1982,1.0,Rs 3900.00,#16550
2026-05-19 20:56:14.543522,SABLON HAIR SPRAY 420ML,1.0,Rs 450.00,#16550
2026-05-19 20:56:14.543522,CHERRY HAIR BRUSH,1.0,Rs 200.00,#16550
2026-05-19 20:56:14.543522,GOLDER PEARL CHARCOAL FACE WASH S,1.0,Rs 220.00,#16550
2026-05-19 20:56:14.543522,CHINA HAIR BRUSH,1.0,Rs 490.00,#16550
2026-05-19 20:56:14.543522,NOSE STRIP VEET 5PC S,1.0,Rs 200.00,#16550
2026-05-19 20:56:14.543522,555 SKIN CLEANER,3.0,Rs 540.00,#16550
2026-05-19 20:56:14.543522,NECK ROLL PATTI BARBAR,2.0,Rs 400.00,#16550
2026-05-19 20:54:40.078407,BABY UMBERLLA CHATRI,2.0,Rs 700.00,#16549
2026-05-19 20:53:51.550816,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16548
2026-05-19 20:52:33.296096,LANGOUT MEGA XL,1.0,Rs 1950.00,#16547
2026-05-19 20:49:50.239556,MILAT INSECT KILLER 813 BULB,1.0,Rs 380.00,#16546
2026-05-19 20:49:11.568491,COOL&SOFT L,1.0,Rs 1850.00,#16545
2026-05-19 20:46:57.201613,AL SHEIKH FAN AC DC,1.0,Rs 9000.00,#16544
2026-05-19 20:45:02.576840,NC 25W PUMP,3.0,Rs 1800.00,#16543
2026-05-19 20:44:52.067560,T SET COOLER,2.0,Rs 160.00,#16542
2026-05-19 20:44:52.067560,COOLER PIPE,1.0,Rs 50.00,#16542
2026-05-19 20:42:47.840698,PARAMOUNT LED BULB 18W 20W,1.0,Rs 250.00,#16541
2026-05-19 20:40:53.005072,OVAL SKIN POLISH 300ML,5.0,Rs 2150.00,#16540
2026-05-19 20:40:53.005072,SHAVING GEL LARGE,1.0,Rs 180.00,#16540
2026-05-19 20:40:53.005072,ELETIK HAIR COLOR 45&43,6.0,Rs 1380.00,#16540
2026-05-19 20:40:53.005072,TONI & GUY CLIPPER,12.0,Rs 600.00,#16540
2026-05-19 20:40:53.005072,PRO500 BLADE,7.0,Rs 2030.00,#16540
2026-05-19 20:40:53.005072,BEN10 TISSUE,12.0,Rs 1680.00,#16540
2026-05-19 20:40:53.005072,SABLON HAIR SPRAY 420ML,1.0,Rs 450.00,#16540
2026-05-19 20:34:22.793311,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16539
2026-05-19 20:33:21.891515,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16538
2026-05-19 20:33:21.891515,COMPUTER SUPPLY,1.0,Rs 2000.00,#16538
2026-05-19 20:23:19.752099,BALINO MOTOR shibo,1.0,Rs 1100.00,#16536
2026-05-19 20:23:19.752099,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16536
2026-05-19 20:23:19.752099,OTO PAR  5 WALA,1.0,Rs 200.00,#16536
2026-05-19 20:23:19.752099,dc wire,8.0,Rs 320.00,#16536
2026-05-19 20:23:19.752099,TAPE,1.0,Rs 50.00,#16536
2026-05-19 20:23:19.752099,dc cooler divert button,2.0,Rs 140.00,#16536
2026-05-19 20:15:45.523394,INSECT AGAR BATI,1.0,Rs 100.00,#16535
2026-05-19 20:15:41.030984,MECLATY LONDON 360ML ORANGE,1.0,Rs 640.00,#16534
2026-05-19 20:15:41.030984,BNB FACEWASH,1.0,Rs 600.00,#16534
2026-05-19 20:15:41.030984,KOYO AAA CELL,4.0,Rs 50.00,#16534
2026-05-19 20:14:30.552691,OTO DC PAR 3 WALA,1.0,Rs 200.00,#16533
2026-05-19 20:14:30.552691,balino japani motor,1.0,Rs 2000.00,#16533
2026-05-19 20:14:30.552691,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16533
2026-05-19 20:14:30.552691,BALINO RING,1.0,Rs 50.00,#16533
2026-05-19 20:11:27.175480,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16532
2026-05-19 20:11:05.052047,balino japani motor,1.0,Rs 2000.00,#16531
2026-05-19 20:11:04.869258,BLACK COBRA SPRAY,1.0,Rs 380.00,#16530
2026-05-19 20:11:04.869258,DUMY PRODUCT 2,1.0,Rs 550.00,#16530
2026-05-19 20:08:14.230892,PIR CAMERA XL 60,1.0,Rs 1600.00,#16529
2026-05-19 20:07:28.099215,balino japani motor,1.0,Rs 2000.00,#16528
