Date,Item,Quantity,Amount,Status
2026-01-26 13:22:14.498945,KEMEI TRIMMER KM-5017,1.0,Rs 2100.00,#2225
2026-01-26 13:17:39.461618,HOPES RECHARGABLE LIGHT H412,1.0,Rs 650.00,#2224
2026-01-26 13:12:19.416992,SIMPLE FOLDING UMBRELLA,1.0,Rs 1050.00,#2223
2026-01-26 13:10:32.124057,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2222
2026-01-26 13:09:14.569223,RULANG RL130 131,1.0,Rs 700.00,#2221
2026-01-26 13:08:18.265096,RULANG RL130 131,1.0,Rs 750.00,#2220
2026-01-26 12:55:50.914536,NATIONAL OVEN MO925VE 25.0L,1.0,Rs 24500.00,#2219
2026-01-26 12:55:16.660806,NATIONAL OVEN MO925VE 25.0L,1.0,Rs 24500.00,#2218
2026-01-26 12:28:03.052496,HOPES RECHARGABLE LIGHT H412,1.0,Rs 650.00,#2217
2026-01-26 12:24:28.378629,KEMEI TRIMMER KM-5017,1.0,Rs 2100.00,#2216
2026-01-26 11:44:51.053560,LED CHARGING BULB FAE-3920,20.0,Rs 10900.00,#2215
2026-01-26 11:39:04.802325,LED CHARGING BULB FAE-3920,3.0,Rs 2100.00,#2214
2026-01-26 11:39:04.802325,LOCAL KETTLE 2LTR,1.0,Rs 1100.00,#2214
2026-01-26 11:38:09.455644,SUPER SCANNER METAL DETECTOR 12899,1.0,Rs 2200.00,#2213
2026-01-26 10:43:41.265985,HOPES RECHARGABLE LIGHT H412,1.0,Rs 650.00,#2212
2026-01-26 10:35:50.885566,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2211
2026-01-26 10:35:35.939507,HEATER U ROD 900W,1.0,Rs 350.00,#2210
2026-01-26 10:35:35.939507,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2210
2026-01-26 10:10:49.671829,FIBER UMBRELLA BIG,1.0,Rs 950.00,#2209
2026-01-26 10:10:49.671829,UMBRELLA U HANDLE,1.0,Rs 1050.00,#2209
2026-01-26 10:02:50.572021,F8 ROD ORIGINAL,4.0,Rs 2320.00,#2208
2026-01-26 10:01:41.372665,F8 ROD ORIGINAL,1.0,Rs 580.00,#2207
2026-01-26 09:59:14.950621,UMBRELLA U HANDLE,1.0,Rs 1150.00,#2206
2026-01-26 09:50:34.803961,UMBRELLA STEEL HANDLE,1.0,Rs 1250.00,#2205
2026-01-25 21:03:14.377712,HUYAU REMOTE RM-191A-1,1.0,Rs 300.00,#2204
2026-01-25 20:59:42.313992,F8 ROD ORIGINAL,1.0,Rs 700.00,#2203
2026-01-25 20:45:27.270954,CARE BABY XXL JUMBO 60,4.0,Rs 8920.00,#2202
2026-01-25 20:45:27.270954,CARE BABY XXL MEGA 50,4.0,Rs 7040.00,#2202
2026-01-25 20:33:16.123138,CARE BABY XL JUMBO 72,4.0,Rs 8920.00,#2201
2026-01-25 20:33:16.123138,CARE BABY L JUMBO 80,2.0,Rs 4460.00,#2201
2026-01-25 20:33:16.123138,CARE BABY XXL JUMBO 60,2.0,Rs 4460.00,#2201
2026-01-25 20:33:16.123138,CARE BABY M JUMBO 88,2.0,Rs 4460.00,#2201
2026-01-25 20:33:16.123138,CARE BABY XXL ECONOMY 30,3.0,Rs 3600.00,#2201
2026-01-25 20:33:16.123138,CARE BABY XL ECONOMY 35,3.0,Rs 3600.00,#2201
2026-01-25 20:33:16.123138,CARE BABY S ECONOMY 48,3.0,Rs 3600.00,#2201
2026-01-25 20:33:16.123138,CARE BABY L MEGA 64,2.0,Rs 3520.00,#2201
2026-01-25 19:37:50.399305,HAND CRANKED JUICER IG66,1.0,Rs 950.00,#2200
2026-01-25 19:33:24.964289,F8 ROD ORIGINAL,2.0,Rs 1400.00,#2199
2026-01-25 19:24:39.405703,F8 ROD ORIGINAL,1.0,Rs 700.00,#2198
2026-01-25 19:13:05.285455,PROFESSION TRIMMER VINTAGE T9,1.0,Rs 900.00,#2197
2026-01-25 18:58:55.226456,LIDO BATTERY 6V 1.2AH,1.0,Rs 1250.00,#2196
2026-01-25 18:53:39.602227,SHEILD BABY SIZE FEEDER 60ML,1.0,Rs 120.00,#2195
2026-01-25 18:41:21.886161,HOBBY LOOBY VACCUM JUGH 16225E,1.0,Rs 2600.00,#2194
2026-01-25 18:38:01.650657,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2193
2026-01-25 18:30:42.193417,PROFESSION TRIMMER VINTAGE T9,1.0,Rs 900.00,#2192
2026-01-25 18:10:08.158404,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2191
2026-01-25 18:03:19.352113,UMBRELLA STEEL HANDLE,1.0,Rs 1250.00,#2190
2026-01-25 17:59:38.183593,MARSKE TRIMMER MS-5009,1.0,Rs 1700.00,#2189
2026-01-25 17:56:16.999837,DIMGLING SHAVING MACHINE RF1861,1.0,Rs 4300.00,#2188
2026-01-25 17:51:03.993597,RUILANG EMERGENCY LIGHT RL 6006,1.0,Rs 400.00,#2187
2026-01-25 17:34:48.820101,REMINGTON HAIR DRYER 3001 2 IN 1,1.0,Rs 1900.00,#2186
2026-01-25 17:32:43.658990,LED REMOTE 015,1.0,Rs 180.00,#2185
2026-01-25 17:30:36.606847,PARAMOUNT LED BULB E27 12W,1.0,Rs 130.00,#2184
2026-01-25 17:30:36.606847,ASIM PENDET HOLDER,1.0,Rs 50.00,#2184
2026-01-25 17:28:27.765266,EXTENSION LEED 675,1.0,Rs 580.00,#2183
2026-01-25 17:23:05.576481,HT LIGHTS S11,1.0,Rs 320.00,#2182
2026-01-25 17:23:05.576481,HT DC LIGHT HT6,1.0,Rs 190.00,#2182
2026-01-25 17:23:05.576481,LAVA BATTERY CHARGER LV-10,1.0,Rs 1900.00,#2182
2026-01-25 17:12:52.332955,ZOOM FLASH LIGHT TORCH 520A,1.0,Rs 1000.00,#2181
2026-01-25 17:12:52.332955,RUILANG FLASHLIGHT P90,1.0,Rs 2400.00,#2181
2026-01-25 17:12:11.470373,F9 ROD ORIGINAL,1.0,Rs 950.00,#2180
2026-01-25 17:03:04.966905,PRIME SERIES BULB 25W,2.0,Rs 700.00,#2179
2026-01-25 17:03:04.966905,PARAMOUNT LED BULB 20W,2.0,Rs 500.00,#2179
2026-01-25 17:00:47.726783,RUILANG EMERGENCY LIGHT RL 6006,1.0,Rs 400.00,#2178
2026-01-25 16:52:32.023617,PANASONIC HAIR DRYER P-7860,1.0,Rs 2900.00,#2177
2026-01-25 16:52:32.023617,RIWA ROUND BRUSH,1.0,Rs 1900.00,#2177
2026-01-25 16:32:07.398709,REMINGTION HAIR DRYER RE-2025,1.0,Rs 2800.00,#2176
2026-01-25 16:32:07.259878,[REFUND] REMINGTON HAIR DRYER 3001 2 IN 1,-1.0,Rs -1700.00,REFUND #2175
2026-01-25 16:30:39.531245,REMINGTION HAIR DRYER RE-2025,1.0,Rs 2800.00,#2174
2026-01-25 16:30:39.531245,REMIGTION HAIRB STRAIGHTNER S35335,1.0,Rs 3200.00,#2174
2026-01-25 16:20:55.833256,SHB EXTENSION 716,1.0,Rs 1700.00,#2173
2026-01-25 16:20:55.833256,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2173
2026-01-25 16:20:55.833256,SILVER CREST HAND MIXER SC8023S,1.0,Rs 2000.00,#2173
2026-01-25 16:06:53.574312,DALING TRIMMER DL-0031,1.0,Rs 2500.00,#2172
2026-01-25 16:03:35.903784,RUILANG EMERGENCY LIGHT RL 6006,1.0,Rs 400.00,#2171
2026-01-25 16:00:42.297235,AFTER SHAVE S,1.0,Rs 100.00,#2170
2026-01-25 16:00:24.987670,PRONIX ELECTRIC SHOWER PX810,1.0,Rs 2500.00,#2169
2026-01-25 15:57:35.636506,KENWOOD HAND BEATER KE133,1.0,Rs 1700.00,#2168
2026-01-25 15:56:45.645208,ENVIRO MICROWAVE OVEN,1.0,Rs 14000.00,#2167
2026-01-25 15:55:52.256565,ENVIRO MICROWAVE OVEN,1.0,Rs 14000.00,#2166
2026-01-25 15:55:07.223488,HAYAT WATER ROD 1200W,1.0,Rs 350.00,#2165
2026-01-25 15:46:10.031071,HOPES RECHARGABLE LIGHT H412,2.0,Rs 1200.00,#2164
2026-01-25 15:37:16.908549,GT 7W DC BULB,2.0,Rs 260.00,#2163
2026-01-25 15:25:05.274856,MILAT INSECT KILLER 813 BULB,1.0,Rs 350.00,#2162
2026-01-25 14:59:47.491444,HYAYU REMOTE RM-36E+++,1.0,Rs 300.00,#2161
2026-01-25 14:26:00.855306,GS BRAND  MUHAFIZ SWITCH,1.0,Rs 650.00,#2160
2026-01-25 14:03:08.647196,DALING TRIMMER DL-0038,1.0,Rs 2400.00,#2159
2026-01-25 13:59:46.605968,NATIONAL IRON NL-21A WT,1.0,Rs 2000.00,#2158
2026-01-25 13:45:34.344067,GT WATER ROD 1500W,1.0,Rs 450.00,#2157
2026-01-25 13:45:34.344067,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2157
2026-01-25 13:43:15.811555,ALLIED LOW PRESSURE REGULATOR DOUBLE KNOB,3.0,Rs 1170.00,#2156
2026-01-25 13:43:15.811555,NATIONAL IRON NL-21A WT,1.0,Rs 1650.00,#2156
2026-01-25 13:40:50.410398,SD8672 FLASHLIGHT,2.0,Rs 390.00,#2155
2026-01-25 13:40:50.410398,GEEPASS CHARGER 1.5V TO 12V,1.0,Rs 220.00,#2155
2026-01-25 13:39:13.731977,F8 ROD ORIGINAL,1.0,Rs 700.00,#2154
2026-01-25 13:38:32.136410,BADRI BULB 50W,2.0,Rs 1600.00,#2153
2026-01-25 13:29:47.867279,HT DC LIGHTS S10,2.0,Rs 360.00,#2152
2026-01-25 13:10:43.814576,HEATER ROD SIMPLE,1.0,Rs 100.00,#2151
2026-01-25 13:07:09.028567,HAYAT WATER ROD 1200W,1.0,Rs 320.00,#2150
2026-01-25 13:01:40.010357,SOLAR INDUCTION STREET LAMP W776B,1.0,Rs 2450.00,#2149
2026-01-25 13:01:40.010357,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2149
2026-01-25 13:00:56.432215,LED CHARGING BULB FAE-3920,2.0,Rs 1400.00,#2148
2026-01-25 12:45:03.720891,REMINGTON HAIR DRYER 3001 2 IN 1,1.0,Rs 1700.00,#2147
2026-01-25 12:45:03.720891,REMINGTION HAIR DRYER RE-2025,1.0,Rs 2800.00,#2147
2026-01-25 12:44:09.842528,E 27 WALL HOLDER,2.0,Rs 150.00,#2146
2026-01-25 12:36:49.540283,F9 ROD ORIGINAL,1.0,Rs 950.00,#2145
2026-01-25 12:21:42.204176,RUILANG BENERGENCY LIGHT RL-127,2.0,Rs 1400.00,#2144
2026-01-25 12:17:02.704755,LOCAL KETTLE 2LTR,1.0,Rs 1100.00,#2143
2026-01-25 12:12:19.775563,LED REMOTE 015,1.0,Rs 180.00,#2142
2026-01-25 12:10:48.751744,REMOTE 1078 020 021 & ALL,1.0,Rs 300.00,#2141
2026-01-25 12:00:02.602568,HG RECHARGABLE LIGHT 500B,1.0,Rs 2000.00,#2140
2026-01-25 11:46:41.780507,NATIONAL BASE,1.0,Rs 380.00,#2139
2026-01-25 11:43:20.370938,DALING TRIMMER DL-0078,1.0,Rs 2700.00,#2138
2026-01-25 11:37:08.988997,NECK ROLL PATTI BARBAR,1.0,Rs 200.00,#2137
2026-01-25 11:35:36.993074,SHEILD FEEDER 125ML,1.0,Rs 130.00,#2136
2026-01-25 09:43:09.068023,CARE BABY L ECONOMY 40,5.0,Rs 6000.00,#2135
2026-01-25 09:43:09.068023,CARE BABY XXL ECONOMY 30,5.0,Rs 6000.00,#2135
2026-01-25 09:43:09.068023,CARE BABY XL ECONOMY 35,4.0,Rs 4800.00,#2135
2026-01-25 09:43:09.068023,CARE BABY NB ECONOMY 52,6.0,Rs 7200.00,#2135
2026-01-25 09:39:58.978163,LED CHARGING BULB FAE-3920,6.0,Rs 4200.00,#2134
2026-01-24 22:31:44.598255,dsa,1.0,Rs 444.00,#2133
2026-01-24 22:31:31.897185,dsa,1.0,Rs 444.00,#2132
2026-01-24 22:22:34.080858,DUMY PRODUCT,100.0,Rs 200.00,#2131
2026-01-24 22:22:12.121518,DUMY PRODUCT,100.0,Rs 200.00,#2130
2026-01-24 22:09:32.603512,DUMY PRODUCT,100.0,Rs 200.00,#2129
2026-01-24 22:08:49.727492,DUMY PRODUCT,100.0,Rs 200.00,#2128
2026-01-24 22:07:37.724598,DUMY PRODUCT,1.0,Rs 3.00,#2127
2026-01-24 22:07:12.404381,SLILVER CREST FOLDING ELECTRIC KETTLE SC918,1.0,Rs 1600.00,#2126
2026-01-24 22:07:01.091828,DUMY PRODUCT,1.0,Rs 3.00,#2125
2026-01-24 22:02:17.635887,LED STAND 14 42,1.0,Rs 530.00,#2124
2026-01-24 21:51:36.337416,dsa,1.0,Rs 5000.00,#2123
2026-01-24 21:51:08.595899,dsa,1.0,Rs 5000.00,#2122
2026-01-24 21:25:07.636910,CARE BABY M MEGA 72,2.0,Rs 3520.00,#2121
2026-01-24 21:25:07.636910,CARE BABY XL MEGA 58,7.0,Rs 12320.00,#2121
2026-01-24 21:25:07.636910,CARE BABY S MEGA 80,2.0,Rs 3520.00,#2121
2026-01-24 21:24:05.535716,CARE BABY L JUMBO 80,2.0,Rs 4460.00,#2120
2026-01-24 21:24:05.535716,CARE BABY S JUMBO 96,2.0,Rs 4460.00,#2120
2026-01-24 21:24:05.535716,CARE BABY XXL JUMBO 60,3.0,Rs 6690.00,#2120
2026-01-24 21:24:05.535716,CARE BABY M JUMBO 88,1.0,Rs 2230.00,#2120
2026-01-24 21:21:17.601031,CARE BABY XXL JUMBO 60,3.0,Rs 6690.00,#2119
2026-01-24 20:37:23.327532,PRIME SERIES BULB 25W,1.0,Rs 350.00,#2118
2026-01-24 20:33:56.351249,GEEPASS CHARGER 1.5V TO 12V,1.0,Rs 250.00,#2117
2026-01-24 20:33:42.288253,PARAMOUNT LED BULB E27 12W,1.0,Rs 130.00,#2116
2026-01-24 20:33:07.305262,RULANG RL130 131,1.0,Rs 750.00,#2115
2026-01-24 20:10:31.938287,F8 ROD ORIGINAL,1.0,Rs 700.00,#2114
2026-01-24 20:03:46.384005,F8 ROD ORIGINAL,1.0,Rs 700.00,#2113
2026-01-24 19:52:20.462731,SILVER CREST MASSAGER,1.0,Rs 4700.00,#2112
2026-01-24 19:43:49.420349,F8 ROD ORIGINAL,1.0,Rs 700.00,#2111
2026-01-24 19:43:13.197649,F8 ROD ORIGINAL,1.0,Rs 580.00,#2110
2026-01-24 19:42:54.614321,FLAWLESS 2IN1 HX202A,1.0,Rs 680.00,#2109
2026-01-24 19:42:54.614321,FLAWLESS HAIR REMOVER 18K,1.0,Rs 630.00,#2109
2026-01-24 18:58:50.636090,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2108
2026-01-24 18:58:50.636090,RUILANG EMERGENCY LIGHT RL 6006,1.0,Rs 400.00,#2108
2026-01-24 18:53:41.003330,PARAMOUNT LED BULB E27 12W,1.0,Rs 130.00,#2107
2026-01-24 18:46:54.971367,GT DC BULB 18 W,1.0,Rs 240.00,#2106
2026-01-24 18:41:20.558581,HMA MALE FEMALE 20A,1.0,Rs 250.00,#2105
2026-01-24 18:35:38.515957,KENWOOD OVEN 2 IN 1 25L,1.0,Rs 24500.00,#2104
2026-01-24 18:22:46.842812,ECOSTAR REMOTE,1.0,Rs 400.00,#2103
2026-01-24 18:20:05.915625,RAF INFRARED COOKER R110,1.0,Rs 6000.00,#2102
2026-01-24 18:17:18.865353,HT DC LIGHTS S10,5.0,Rs 900.00,#2101
2026-01-24 18:17:18.865353,CABLE CLIPS 12PS 9MM,3.0,Rs 120.00,#2101
2026-01-24 18:12:15.254958,RULANG RL130 131,1.0,Rs 750.00,#2100
2026-01-24 18:05:04.345793,AURA FEEDER SH 667,1.0,Rs 270.00,#2099
2026-01-24 17:58:36.838356,HOPES RECHARGABLE LIGHT H412,1.0,Rs 650.00,#2098
2026-01-24 17:56:43.158353,DUMY PRODUCTS 2,1.0,Rs 200.00,#2097
2026-01-24 17:52:46.599557,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2096
2026-01-24 17:51:23.430425,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2095
2026-01-24 17:44:59.666094,HG DUE HG 1664,1.0,Rs 2100.00,#2094
2026-01-24 17:33:22.149270,LED CHARGING BULB FAE-3920,5.0,Rs 3500.00,#2093
2026-01-24 17:33:22.149270,HG RECHARGABLE LIGHT 500B,1.0,Rs 2000.00,#2093
2026-01-24 17:33:22.149270,HOPES RECHARGABLE LIGHT H412,1.0,Rs 650.00,#2093
2026-01-24 17:30:23.687927,HOPES RECHARGABLE LIGHT H412,1.0,Rs 650.00,#2092
2026-01-24 17:27:51.208030,RUILANG EMERGENCY LIGHT RL 6006,1.0,Rs 400.00,#2091
2026-01-24 17:21:13.965105,GT 9W DC BULB,1.0,Rs 150.00,#2090
2026-01-24 17:21:13.965105,F8 ROD ORIGINAL,2.0,Rs 1400.00,#2090
2026-01-24 17:21:13.965105,LOCAL KETTLE 2LTR,4.0,Rs 4400.00,#2090
2026-01-24 17:21:13.965105,HAYAT WATER ROD 1200W,1.0,Rs 320.00,#2090
2026-01-24 17:21:13.965105,LED CHARGING BULB FAE-3920,4.0,Rs 2800.00,#2090
2026-01-24 17:21:13.965105,RULIANG CHARGING LIGHT RL6006S,1.0,Rs 400.00,#2090
2026-01-24 17:21:13.965105,HOPES RECHARGABLE LIGHT H412,1.0,Rs 650.00,#2090
2026-01-24 17:21:13.965105,HEATER U ROD 600W,1.0,Rs 350.00,#2090
2026-01-24 17:13:57.104471,F8 ROD ORIGINAL,1.0,Rs 700.00,#2089
2026-01-24 16:55:38.125680,F8 ROD ORIGINAL,2.0,Rs 1400.00,#2088
2026-01-24 16:53:18.270098,RULANG RL130 131,1.0,Rs 750.00,#2087
2026-01-24 16:48:43.935603,BABY SMALL UMBRELLA,1.0,Rs 340.00,#2086
2026-01-24 16:43:05.848237,F1 F2 REMOTE RECIVER,1.0,Rs 180.00,#2085
2026-01-24 16:43:05.848237,SHARP REMOTE,1.0,Rs 200.00,#2085
2026-01-24 16:41:05.683554,LED CHARGING BULB FAE-3920,1.0,Rs 700.00,#2084
2026-01-24 16:38:04.444829,SOGO BATTERY JPN-750 6V 4.5A,1.0,Rs 1300.00,#2083
2026-01-24 16:36:35.941815,SD8670 FLASHLIGHT,4.0,Rs 640.00,#2082
2026-01-24 16:36:35.941815,LONAN 1803,3.0,Rs 1080.00,#2082
2026-01-24 16:36:35.941815,LED CHARGING BULB FAE-3920,4.0,Rs 2400.00,#2082
2026-01-24 16:18:37.207686,SOGO BATTERY 6V 4.5AH,1.0,Rs 1250.00,#2081
2026-01-24 16:14:19.309729,HMA SHOE PROCLEAN,2.0,Rs 100.00,#2080
2026-01-24 16:14:19.309729,0W BULB,2.0,Rs 100.00,#2080
2026-01-24 16:14:19.309729,ECOSTAR REMOTE,1.0,Rs 400.00,#2080
2026-01-24 16:09:10.493915,[REFUND] WINER THERMOS 1.0L,-1.0,Rs -100.00,REFUND #2079
2026-01-24 16:09:10.413151,WINER THERMOS 1.0L,1.0,Rs 100.00,#2078
2026-01-24 16:04:05.864898,F8 ROD ORIGINAL,1.0,Rs 700.00,#2077
2026-01-24 15:59:41.367197,JOLLY FAIRNESS SNOW,1.0,Rs 200.00,#2076
2026-01-24 15:59:41.367197,GOLDEN PEARL MUTLI VITAMIN MASSAGE CREAM,1.0,Rs 220.00,#2076
2026-01-24 15:58:52.575023,dsa,1.0,Rs 20000.00,#2075
2026-01-24 15:58:32.556035,DALING TRIMMER RSCW-900,1.0,Rs 1600.00,#2074
2026-01-24 15:58:29.503041,dsa,1.0,Rs 20000.00,#2073
2026-01-24 15:58:13.145781,GT 5W DC BULB,6.0,Rs 720.00,#2072
2026-01-24 15:58:13.145781,HT DC BULB HT23 MODEL,1.0,Rs 180.00,#2072
2026-01-24 15:58:13.145781,ASIM PENDET HOLDER,7.0,Rs 420.00,#2072
2026-01-24 15:53:32.779980,LED CHARGING BULB FAE-3920,4.0,Rs 2800.00,#2071
2026-01-24 15:50:53.336912,HOPES RECHARGABLE LIGHT H412,1.0,Rs 650.00,#2070
2026-01-24 15:30:52.582816,HOPES RECHARGABLE LIGHT H412,2.0,Rs 1300.00,#2069
2026-01-24 15:18:43.187521,SD8676 FLASHLIGHT,1.0,Rs 330.00,#2068
2026-01-24 14:57:51.745479,DUMY PRODUCT,1.0,Rs 35980.00,#2067
2026-01-24 14:55:06.305223,CARE BABY XL MEGA 58,1.0,Rs 1760.00,#2066
2026-01-24 14:55:06.305223,CARE BABY XXL MEGA 50,1.0,Rs 1760.00,#2066
2026-01-24 14:52:47.604676,CARE BABY NB ECONOMY 52,4.0,Rs 4800.00,#2065
2026-01-24 14:52:47.604676,CARE BABY S JUMBO 96,2.0,Rs 4460.00,#2065
2026-01-24 14:52:47.604676,CARE BABY M JUMBO 88,3.0,Rs 6690.00,#2065
2026-01-24 14:52:47.604676,CARE BABY L JUMBO 80,1.0,Rs 2230.00,#2065
2026-01-24 14:52:47.604676,CARE BABY XL JUMBO 72,2.0,Rs 4460.00,#2065
2026-01-24 14:52:47.604676,CARE BABY XXL JUMBO 60,1.0,Rs 2230.00,#2065
2026-01-24 14:49:18.630565,CARE BABY L JUMBO 80,40.0,Rs 88000.00,#2064
2026-01-24 14:49:18.630565,CARE BABY XL JUMBO 72,68.0,Rs 149600.00,#2064
2026-01-24 14:49:18.630565,CARE BABY XXL JUMBO 60,68.0,Rs 149600.00,#2064
2026-01-24 14:49:18.630565,CARE BABY S JUMBO 96,4.0,Rs 0.00,#2064
2026-01-24 14:49:18.630565,CARE BABY M JUMBO 88,4.0,Rs 0.00,#2064
2026-01-24 14:47:42.945789,TD 6000 BLACK LIGHT,1.0,Rs 3900.00,#2063
2026-01-24 14:47:20.184052,LED CHARGING BULB FAE-3920,6.0,Rs 3720.00,#2062
2026-01-24 14:47:20.184052,SOGO JPN-74,8.0,Rs 4640.00,#2062
2026-01-24 14:47:20.184052,HOPES RECHARGABLE LIGHT H412,6.0,Rs 3480.00,#2062
2026-01-24 14:47:20.184052,ZOOM FLASH LIGHT TORCH 520A,3.0,Rs 2250.00,#2062
2026-01-24 14:47:20.184052,RULANG RL130 131,3.0,Rs 2010.00,#2062
2026-01-24 14:43:30.930175,HT DC LIGHTS S18,2.0,Rs 280.00,#2061
2026-01-24 14:43:30.930175,SK SMART BATTERY CHARGER 10A,1.0,Rs 1900.00,#2061
2026-01-24 14:43:30.930175,LONG BATTERY 12V7A,1.0,Rs 3200.00,#2061
2026-01-24 14:41:37.120070,DUMY PRODUCT,1.0,Rs 3.00,#2060
2026-01-24 14:40:17.573138,LAVA BATTERY CAHRGER 20A,1.0,Rs 2500.00,#2059
2026-01-24 14:40:17.573138,ASIM PENDET HOLDER,1.0,Rs 70.00,#2059
2026-01-24 14:26:13.042715,LED CHARGING BULB FAE-3920,2.0,Rs 1400.00,#2058
2026-01-24 14:26:13.042715,PARAMOUNT LED BULB B22 12W,1.0,Rs 130.00,#2058
2026-01-24 14:24:29.199702,CHARGING LIGHT YK-8228,1.0,Rs 500.00,#2057
2026-01-24 14:20:09.457075,F8 ROD ORIGINAL,1.0,Rs 700.00,#2056
2026-01-24 14:11:17.650477,EXTENSION LEED 075,1.0,Rs 350.00,#2055
2026-01-24 14:11:17.650477,HMA SHOE PROCLEAN,2.0,Rs 100.00,#2055
2026-01-24 14:07:57.000133,RUILANG EMERGENCY LIGHT RL 6006,1.0,Rs 400.00,#2054
2026-01-24 14:05:38.464851,HUNDRED FOD HUMIDIFIER V32,1.0,Rs 4800.00,#2053
2026-01-24 14:05:38.464851,SHENHUA HANDY STEAM IRON ST-50,1.0,Rs 4500.00,#2053
2026-01-24 14:00:34.212451,MONEY DETECTOR AD118AB,1.0,Rs 1150.00,#2052
2026-01-24 13:32:51.095198,GEEPASS CHARGER 1.5V TO 12V,1.0,Rs 250.00,#2051
2026-01-24 13:17:04.469392,dsa,5.0,Rs 25000.00,#2050
2026-01-24 13:16:05.889363,dsa,5.0,Rs 25000.00,#2049
2026-01-24 12:55:19.122686,CARE BABY NB ECONOMY 52,16.0,Rs 19200.00,#2048
2026-01-24 12:55:19.122686,CARE BABY S JUMBO 96,16.0,Rs 35200.00,#2048
2026-01-24 12:55:19.122686,CARE BABY M JUMBO 88,12.0,Rs 26400.00,#2048
2026-01-24 12:55:19.122686,CARE BABY L JUMBO 80,40.0,Rs 88000.00,#2048
2026-01-24 12:55:19.122686,CARE BABY XL JUMBO 72,32.0,Rs 70400.00,#2048
2026-01-24 12:55:19.122686,CARE BABY XXL JUMBO 60,36.0,Rs 79200.00,#2048
2026-01-24 12:53:55.321351,CARE BABY NB ECONOMY 52,16.0,Rs 19200.00,#2047
2026-01-24 12:53:55.321351,CARE BABY S JUMBO 96,16.0,Rs 35200.00,#2047
2026-01-24 12:53:55.321351,CARE BABY M JUMBO 88,12.0,Rs 26400.00,#2047
2026-01-24 12:53:55.321351,CARE BABY L JUMBO 80,40.0,Rs 88000.00,#2047
2026-01-24 12:53:55.321351,CARE BABY XL JUMBO 72,32.0,Rs 70400.00,#2047
2026-01-24 12:53:55.321351,CARE BABY XXL JUMBO 60,36.0,Rs 79200.00,#2047
